VA Boston Healthcare System Residency in Ocular Disease|1400 VFW Parkway|West Roxbury|MA|2132|/www.boston.va.gov/
Donnelly College|608 N 18th St|Kansas City|KS|66102|donnelly.edu
Watts School of Nursing|3643 N Roxboro Road|Durham|NC|27704-2763|drh.duhs.duke.edu/wattsson
Dudley Beauty College-Charlotte|1950 Bishop Madison Lane|Charlotte|NC|28216|dudleyq.com/cosmetology.html
EC Boston|1 Faneuil Hall Square, Suite 701|Boston|MA|2109|ecenglish.com
EC Boston|1 Faneuil Hall Square, Suite 701|Boston|MA|2109|ecenglish.com
EC Boston|1 Faneuil Hall Square, Suite 701|Boston|MA|2109|ecenglish.com
EC Boston|1 Faneuil Hall Square, Suite 701|Boston|MA|2109|ecenglish.com
Remington College-Houston Campus|3110 Hayes Road Suite 380|Houston|TX|77082|educationamerica.com/remingtoncollege.edu
Community Enhancement Services - CES College|725 S. Glendale Ave, Suite D|Glendale|CA|91205|eduinla.com
Community Enhancement Services - CES College|725 S. Glendale Ave, Suite D|Glendale|CA|91205|eduinla.com
Community Enhancement Services - CES College|725 S. Glendale Ave, Suite D|Glendale|CA|91205|eduinla.com
Community Enhancement Services - CES College|725 S. Glendale Ave, Suite D|Glendale|CA|91205|eduinla.com
Community Enhancement Services - CES College|725 S. Glendale Ave, Suite D|Glendale|CA|91205|eduinla.com
Community Enhancement Services - CES College|725 S. Glendale Ave, Suite D|Glendale|CA|91205|eduinla.com
The Elizabeth Grady School of Esthetics & Massage Therapy|222 Boston Avenue|Medford|MA|2155|elizabethgrady.com
Empire Beauty School - Laconia|556 Main Street|Laconia|NH|3246|empirebeautyschools.com
Empire Beauty School - Laconia|556 Main Street|Laconia|NH|3246|empirebeautyschools.com
Empire Beauty School - Somersworth|362 Route 108|Somersworth|NH|3878|empirebeautyschools.com
Empire Beauty School - Somersworth|362 Route 108|Somersworth|NH|3878|empirebeautyschools.com
Grace Mission University|1645 W. Valencia Dr.|Fullerton|CA|92833|eng.gmuedu.org
Grace Mission University|1645 W. Valencia Dr.|Fullerton|CA|92833|eng.gmuedu.org
Grace Mission University|1645 W. Valencia Dr.|Fullerton|CA|92833|eng.gmuedu.org
Grace Mission University|1645 W. Valencia Dr.|Fullerton|CA|92833|eng.gmuedu.org
NorthShore University HealthSystem - Evanston Hospital|2650 Ridge Avenue|Evanston|IL|60201-1718|enh.org/academicprograms
Erie 1 BOCES-Practical Nursing Program|1526 Walden Avenue, Suite 200|Cheektowaga|NY|14225|erie1boces.org
Erie 1 BOCES-Practical Nursing Program|1526 Walden Avenue, Suite 200|Cheektowaga|NY|14225|erie1boces.org
Erie 1 BOCES-Practical Nursing Program|1526 Walden Avenue, Suite 200|Cheektowaga|NY|14225|erie1boces.org
Erie 1 BOCES-Practical Nursing Program|1526 Walden Avenue, Suite 200|Cheektowaga|NY|14225|erie1boces.org
D.G. Erwin Technical Center|2010 E Hillsborough Ave|Tampa|FL|33612|erwin.edu
D.G. Erwin Technical Center|2010 E Hillsborough Ave|Tampa|FL|33612|erwin.edu
D.G. Erwin Technical Center|2010 E Hillsborough Ave|Tampa|FL|33612|erwin.edu
D.G. Erwin Technical Center|2010 E Hillsborough Ave|Tampa|FL|33612|erwin.edu
D.G. Erwin Technical Center|2010 E Hillsborough Ave|Tampa|FL|33612|erwin.edu
D.G. Erwin Technical Center|2010 E Hillsborough Ave|Tampa|FL|33612|erwin.edu
D.G. Erwin Technical Center|2010 E Hillsborough Ave|Tampa|FL|33612|erwin.edu
ETI Technical College|2076 Youngstown Warren Rd|Niles|OH|44446-4398|eti-college.com
Environmental Technical Institute|1101 W Thorndale Ave|Itasca|IL|60143-1334|eticampus.com
Environmental Technical Institute|13010 S Division St|Blue Island|IL|60406-2606|eticampus.com
Everest College - Bremerton|155 Washington Avenue, Suite 200|Bremerton|WA|98337|etontech.com
Everest College - Bremerton|155 Washington Avenue, Suite 200|Bremerton|WA|98337|etontech.com
Everest College - Bremerton|155 Washington Avenue, Suite 200|Bremerton|WA|98337|etontech.com
Everest College - Bremerton|155 Washington Avenue, Suite 200|Bremerton|WA|98337|etontech.com
Everest College - Bremerton|155 Washington Avenue, Suite 200|Bremerton|WA|98337|etontech.com
Bryman College|31919 6TH Avenue South|Federal Way|WA|98003|etontech.com
Army Transportation and Aviation Logistics School|711 B Avenue, Bldg 2300|Ft. Lee|VA|23801|eustis.army.mil
Eastern Wyoming College|3200 West C St|Torrington|WY|82240-1699|ewc.wy.edu
Eastern Wyoming College|3200 West C St|Torrington|WY|82240-1699|ewc.wy.edu
Eastern Wyoming College|3200 West C St|Torrington|WY|82240-1699|ewc.wy.edu
Eastern Wyoming College|3200 West C St|Torrington|WY|82240-1699|ewc.wy.edu
Eastern Wyoming College|3200 West C St|Torrington|WY|82240-1699|ewc.wy.edu
Exposito School of Hair Design Ltd|3710 Mockingbird|Amarillo|TX|79109-3208|expositoschool.com
Inter American University of Puerto Rico - Fajardo|Calle Union-Batey Central Carr 195|Fajardo|PR|00738-7003|fajardo.inter.edu
Inter American University of Puerto Rico - Fajardo|Calle Union-Batey Central Carr 195|Fajardo|PR|00738-7003|fajardo.inter.edu
CVPH Medical Center School of Radiologic Technology|75 Beekman St|Plattsburgh|NY|12901|fashlineCVPH.org
CVPH Medical Center School of Radiologic Technology|75 Beekman St|Plattsburgh|NY|12901|fashlineCVPH.org
Federico Beauty Institute|1515 Sports Drive    Ste 100|Sacramento|CA|95834|federico.edu
Fred W Eberle Technical Center|Rte 5 Box 2|Buckhannon|WV|26201|fetc.upsh.tec.wv.us
Fred W Eberle Technical Center|Rte 5 Box 2|Buckhannon|WV|26201|fetc.upsh.tec.wv.us
Florida Institute of Animal Arts|3776 Howell Branch Road|Winter Park|FL|32792|fifi-inc.com
Sessions Online School of Fine Arts|398 S. Mill Avenue, Suite 300|Tempe|AZ|85281|finearts.sessions.edu
Aviation Institute of Maintenance - Dallas|7555 Lemmon Avenue|Dallas|TX|75209|fixthatplane.com
Flagler Technical Center|1 Corporate Drive, Suite 2-J|Palm Coast|FL|32137|flagleradulted.com
The Salon Professional Academy - Melbourne|1700 West New Haven Avenue, Suite 540A|Melbourne|FL|32904|FLORIDACOSMETOLOGYSCHOOLS.COM
Fort Worth Beauty School|6785 Camp Bowie Blvd. Suite 100|Fort Worth|TX|76116|fortworthbeautyschool.com
Fort Worth Beauty School|6785 Camp Bowie Blvd. Suite 100|Fort Worth|TX|76116|fortworthbeautyschool.com
American Institute|99 South Street|West Hartford|CT|06110-1922|foxinstitute.com
American Institute|99 South Street|West Hartford|CT|06110-1922|foxinstitute.com
American Institute|99 South Street|West Hartford|CT|06110-1922|foxinstitute.com
American Institute|99 South Street|West Hartford|CT|06110-1922|foxinstitute.com
Francois D. College of Hair, Skin & Nails|8932 South State Street|Sandy|UT|84070|franciosd.com
Georgia Driving Academy|1449 V.F.W. Drive, SW|Conyers|GA|30012|gadrivingacademy.com
Georgia Driving Academy|1449 V.F.W. Drive, SW|Conyers|GA|30012|gadrivingacademy.com
Sessions Online School of Game Art|398 S. Mill Avenue, Suite 300|Tempe|AZ|85281|gameart.sessions.edu
Gates College|4450 West 182nd Street|Redondo Beach|CA|90278|gatescollege.com
The King's University|2121 East Southlake Boulevard|Southlake|TX|76092|gateway.kingsuniversity.edu/
The King's University|2121 East Southlake Boulevard|Southlake|TX|76092|gateway.kingsuniversity.edu/
The King's University|2121 East Southlake Boulevard|Southlake|TX|76092|gateway.kingsuniversity.edu/
The King's University|2121 East Southlake Boulevard|Southlake|TX|76092|gateway.kingsuniversity.edu/
Green Country Technology Center|PO Box 1217|Okmulgee|OK|74447|gctcok.com
Gulf Coast Trades Center|143 Forest Service Road #233|New Waverly|TX|77358|gctcw.org
Everest Institute - Atlanta Downtown|101 Marietta Street, NW Suite 600|Atlanta|GA|30303|georgia-med.com/
Georgia Career Institute|900 Flat Shoals Road|Conyers|GA|30013|georgiacareerinstitute.com
Georgia Career Institute|900 Flat Shoals Road|Conyers|GA|30013|georgiacareerinstitute.com
Georgia Career Institute|900 Flat Shoals Road|Conyers|GA|30013|georgiacareerinstitute.com
Georgia Institute of Cosmetology|1496 Buford Highway|Sugar Hill|GA|30518|GICSCHOOL.COM
Georgia Institute of Cosmetology|1496 Buford Highway|Sugar Hill|GA|30518|GICSCHOOL.COM
Georgia Institute of Cosmetology|1496 Buford Highway|Sugar Hill|GA|30518|GICSCHOOL.COM
Georgia Institute of Cosmetology|1496 Buford Highway|Sugar Hill|GA|30518|GICSCHOOL.COM
Glen Oaks Community College|62249 Shimmel Rd|Centreville|MI|49032-9719|glenoaks.edu
Gnomon School of Visual Effects|1015 North Cahuenga Boulevard, Suite 5430i|Hollywood|CA|90038|gnomon3d.com
PJ's College of Cosmetology|1414 Blackiston Mill Rd|Clarksville|IN|47129|GOTOPJS.COM
PJ's College of Cosmetology|115 N Ninth St|Richmond|IN|47374|GOTOPJS.COM
PJ's College of Cosmetology|1414 Blackiston Mill Rd|Clarksville|IN|47129|GOTOPJS.COM
PJ's College of Cosmetology|1414 Blackiston Mill Rd|Clarksville|IN|47129|GOTOPJS.COM
PJ's College of Cosmetology|1414 Blackiston Mill Rd|Clarksville|IN|47129|GOTOPJS.COM
PJ's College of Cosmetology - Bowling Green|1901 Russellville Road|Bowling Green|KY|42101|GOTOPJS.COM
PJ's College of Cosmetology - Bowling Green|1901 Russellville Road|Bowling Green|KY|42101|GOTOPJS.COM
Irell and Manella Graduate School of Biological Sciences|1500 E Duarte Rd|Duarte|CA|91010-3000|gradschool.coh.org
Graham Hospital|210 W Walnut St|Canton|IL|61520-2497|grahamschoolofnursing.org
Toni & Guy Hairdressing Academy - Seattle|18336 Aurora Avenue North, Suite #103|Shoreline|WA|98133|greenwoodacademyofhair.net
Gretna Career College|1415 Whitney Ave|Gretna|LA|70053|gretnacareercollege.edu
Grossmont College|8800 Grossmont College Dr|El Cajon|CA|92020-1799|grossmont.gcccd.cc.ca.us/home/
Grossmont College|8800 Grossmont College Dr|El Cajon|CA|92020-1799|grossmont.gcccd.cc.ca.us/home/
Grossmont College|8800 Grossmont College Dr|El Cajon|CA|92020-1799|grossmont.gcccd.cc.ca.us/home/
Good Samaritan Hospital|520 S 7th St|Vincennes|IN|47591|gshvin.org
Guy's Academy Hair, Skin & Nails|1141 Shreveport Barksdale Highway|Shreveport|LA|71105|guyscademy.com
Healing Arts Center|2601 South Big Bend|St. Louis|MO|63143|hacmassage.com
Hair Design Institute at Fifth Avenue|375 86th Street|Brooklyn|NY|11209|hairdesigninstitute.com
Hair Design Institute at Fifth Avenue|375 86th Street|Brooklyn|NY|11209|hairdesigninstitute.com
Hairmasters Institute of Cosmetology|506 S McClun St|Bloomington|IL|61701|hairmasters.com
Hamrick School|1156 Medina Rd|Medina|OH|44256|hamricktruck.com
Hartford Conservatory|834 Asylum Ave|Hartford|CT|06105-2891|hartfordconservatory.org
Apex Academy of Hair Design Inc|333 Jackson St|Anderson|IN|46016-1158|HCCIGB
Huntingdon County Career and Technology Center|Vo Tech Dr|Mill Creek|PA|17060|hcctc.org
Harrison Career Institute - Allentown|2102 Union Blvd|Allentown|PA|18109|hci.edu
Harrison Career Institute - Baltimore|1040 Park Avenue|Baltimore|MD|21201|hci.edu
Harrison Career Institute - Clifton|1227-31 Main Ave|Clifton|NJ|7111|hci.edu
Harrison Career Institute - Delran|4000 Rte 130 N, Suite A, 2nd Floor|Delran|NJ|8075|hci.edu
Harrison Career Institute - Ewing|1001 Spruce Street, Suite 7|Ewing|NJ|08638-3957|hci.edu
Harrison Career Institute - Jersey City|600 Pavonia Avenue|Jersey City|NJ|7302|hci.edu
Harrison Career Institute - Oakhurst|2105 Hwy 35|Oakhurst|NJ|7755|hci.edu
Harrison Career Institute - Pittsburgh|717 Liberty Avenue, Suite 800|Pittsburgh|PA|15222|hci.edu
Harrison Career Institute - Reading|645 Penn Street, 3rd Floor|Reading|PA|19601|hci.edu
Harrison Career Institute - South Orange|525 South Orange Ave|South Orange|NJ|07079-0000|hci.edu
Harrison Career Institute - Vineland|1386 S Delsea Dr|Vineland|NJ|8360|hci.edu
Harrison Career Institute - Wilmington|631 W. Newport Pike, Graystone Plaza|Wilmington|DE|19804|hci.edu
Headmasters School of Hair Design|602 Main St|Lewiston|ID|83501|HEADAMSTERSSCHOOLHAIRDESIGN.COM
Spa Tech Institute - Ipswich|126 High St|Ipswich|MA|1938|HeadhunterInstitute.com
Spa Tech Institute - Plymouth|59 Industrial Park Rd|Plymouth|MA|2360|HeadhunterInstitute.com
Spa Tech Institute - Westboro|227 Turnpike Road, Suite 1|Westboro|MA|1581|HeadhunterInstitute.com
Spa Tech Institute - Westbrook|100 Larrabee Road, Unit 170|Westbrook|ME|4093|HeadhunterInstitute.com
Spa Tech Institute - Westbrook|100 Larrabee Road|Westbrook|ME|4092|HeadhunterInstitute.com
Headlines Academy, Inc.|333 Omaha Street, Suite 6 & 7|Rapid City|SD|57701|headlinesacademy.com
Health Career Institute - Lake Worth, Florida|1926 10th Ave North, Suite 405|Lake Worth|FL|33461|healthcareerinstitute.com
Health Works Institute|111 S Grand Ave Annex 3|Bozeman|MT|59715|healthworksinstitute.com
Henderson Community College|2660 S Green St|Henderson|KY|42420-4699|henderson.kctcs.edu
Henderson Community College|2660 S Green St|Henderson|KY|42420-4699|henderson.kctcs.edu
Henderson Community College|2660 S Green St|Henderson|KY|42420-4699|henderson.kctcs.edu
Henderson Community College|2660 S Green St|Henderson|KY|42420-4699|henderson.kctcs.edu
Heritage College - Oklahoma City|7202 S. I-35 Service Road|Oklahoma City|OK|73149|heritage-education.com
Heritage College - Oklahoma City|7202 S. I-35 Service Road|Oklahoma City|OK|73149|heritage-education.com
Heritage College - Oklahoma City|7202 S. I-35 Service Road|Oklahoma City|OK|73149|heritage-education.com
Heritage Institute - Fort Myers|6630 Orion Drive|Fort Myers|FL|33912|heritage-education.com
Heritage Institute - Fort Myers|6630 Orion Drive|Fort Myers|FL|33912|heritage-education.com
Kaplan College - Las Vegas|3535 W. Sahara Avenue|Las Vegas|NV|89102|heritagecollege.com
Kaplan College - Las Vegas|3535 W. Sahara Avenue|Las Vegas|NV|89102|heritagecollege.com
Kaplan College - Las Vegas|3535 W. Sahara Avenue|Las Vegas|NV|89102|heritagecollege.com
Kaplan College - Las Vegas|3535 W. Sahara Avenue|Las Vegas|NV|89102|heritagecollege.com
Yeshiva Gedolah Imrei Yosef D'Spinka|1466 56th St|Brooklyn|NY|11219|herrsnbmaol.com
Hicks Academy of Beauty Culture|904 Loudoun Avenue|Portsmouth|VA|23707|HicksAcademy.com
Living Arts College@School of Communication Arts|3000 Wakefield Crossing Drive|Raleigh|NC|27614|higherdigitaleducation.com
Living Arts College@School of Communication Arts|3000 Wakefield Crossing Drive|Raleigh|NC|27614|higherdigitaleducation.com
Living Arts College@School of Communication Arts|3000 Wakefield Crossing Drive|Raleigh|NC|27614|higherdigitaleducation.com
Living Arts College@School of Communication Arts|3000 Wakefield Crossing Drive|Raleigh|NC|27614|higherdigitaleducation.com
High-Tech Institute - Atlanta|1090 Northchase Pkwy-Ste 150|Marietta|GA|30067|hightechinstitute.edu
Eastwick College|10 South Franklin Turnpike|Ramsey|NJ|07446-2551|HOHOKUS.COM
Puerto Rico Technical Junior College Inc|Ponce de Leon Ave #703 Hato Rey|San Juan|PR|917|home.coqui.net/prtech2
Dean Institute of Technology|1501 W Liberty Ave|Pittsburgh|PA|15226-1197|home.earthlink.net/~deantech
Oklahoma State Horseshoeing School|4802 Dogwood Road|Ardmore|OK|73401|horseshoes.com/okstate
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Everest College - Seattle|2111 North Northgate Way, Suite 218|Seattle|WA|98133|http://ashmeadcollege.com
Berkeley Adult School|1222 University Avenue|Berkeley|CA|94702|http://bas.berkeley.net
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
Cape Fear Community College|411 North Front Street|Wilmington|NC|28401-3910|http://cfcc.edu
D.A. Dorsey Educational Center|7100 N.W. 17th Avenue|Miami|FL|33147-6333|http://dadorsey.dadeschools.net
D.A. Dorsey Educational Center|7100 N.W. 17th Avenue|Miami|FL|33147-6333|http://dadorsey.dadeschools.net
D.A. Dorsey Educational Center|7100 N.W. 17th Avenue|Miami|FL|33147-6333|http://dadorsey.dadeschools.net
Defense Institute of Security Assistance Management|2335 Seventh Street|Wright-Patterson AFB|OH|45433-7803|http://disam.csd.mil
Tulsa Job Corps Center|1133 North Lewis Avenue|Tulsa|OK|74110|http://tulsa.jobcorps.gov/html/home/
International Mid Pac College|1311 Kapiolani Blvd., Suite 200-I|Honolulu|HI|96814|http://www.impachawaii.edu
International Mid Pac College|1311 Kapiolani Blvd., Suite 200-I|Honolulu|HI|96814|http://www.impachawaii.edu
Inter-American Institute for Social Development|1300 New York Avenue, N.W.; Stop B200|Washington|DC|20577|http://www.indes.org
University of Minnesota School of Medicine|G254 Mayo Bldg, MMC 293, 420 Delaware Street SE|Minneapolis|MN|55455|http://www.med.umn.edu/
Neumont University|143 South Main Street|Salt Lake City|UT|84111|http://www.northface.edu/
Neumont University|143 South Main Street|Salt Lake City|UT|84111|http://www.northface.edu/
Army Quartermaster Center and School|1201 22nd Street|Fort Lee|VA|23801|http://www.quartermaster.army.mil/
Regional Center for Border Health|214 W. Main Street|Somerton|AZ|85350|http://www.rcfbh.org/
